Season;Episodes;First aired;;Last aired;;Avg. viewers (millions);;;;;;;
;;;;;;;;;;;;;
;;Date;Viewers (millions);Date;Viewers (millions);;;;;;;;
1;10;February 8, 2015;6,88;April 6, 2015;2,53;3,21;;;;;;;
2;10;February 15, 2016;2,57;April 18, 2016;2,26;2,16;;;;;;;
3;10;April 10, 2017;1,81;June 19, 2017;1,85;1,64;;;;;;;
4;10;August 6, 2018;1,77;October 8, 2018;1,53;1,49;;;;;;;
5;10;February 23, 2020;1,6;April 20, 2020;1,59;1,37;;;;;;;
6A;7;April 18, 2022;1,42;May 23, 2022;1,19;1,27;;;;;;;
6B;6;July 11, 2022;1,16;August 15, 2022;1,8;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
